from,to,average,threshold,collusion
Austria,Belgium,1.9,4.904999999999996,FALSE
Austria,Cyprus,0.2222222222222222,4.9,FALSE
Austria,Denmark,4.4,5.1,FALSE
Austria,Finland,1,4.904999999999996,FALSE
Austria,France,3.7,4.9,FALSE
Austria,Germany,2.9,5.1,FALSE
Austria,Greece,0.75,5,FALSE
Austria,Israel,2.5555555555555554,5.1,FALSE
Austria,Italy,4.111111111111111,4.904999999999996,FALSE
Austria,Luxembourg,3.4,4.8,FALSE
Austria,Norway,2.2,4.9,FALSE
Austria,Portugal,0.6,4.8,FALSE
Austria,Spain,3.8,4.9,FALSE
Austria,Sweden,5.1,5.1,FALSE
Austria,Switzerland,2,4.704999999999996,FALSE
Austria,Netherlands,1.875,4.904999999999996,FALSE
Austria,Turkey,0.2,4.9,FALSE
Austria,United Kingdom,5.9,4.904999999999996,TRUE
Austria,Yugoslavia,2.6666666666666665,5,FALSE
Belgium,Austria,3,4.9,FALSE
Belgium,Cyprus,1,4.9,FALSE
Belgium,Denmark,2.5,4.9,FALSE
Belgium,Finland,0.8,5,FALSE
Belgium,France,2.3,5,FALSE
Belgium,Germany,5.6,4.904999999999996,TRUE
Belgium,Greece,0.5,5,FALSE
Belgium,Israel,3.7777777777777777,5.1,FALSE
Belgium,Italy,1.6666666666666667,5,FALSE
Belgium,Luxembourg,2.8,5,FALSE
Belgium,Norway,4.6,5,FALSE
Belgium,Portugal,0.2,4.9,FALSE
Belgium,Spain,2.7,5.1,FALSE
Belgium,Sweden,3.7,5,FALSE
Belgium,Switzerland,4.4,4.8,FALSE
Belgium,Netherlands,0.5,4.9,FALSE
Belgium,Turkey,1.1,4.904999999999996,FALSE
Belgium,United Kingdom,5,5,FALSE
Belgium,Yugoslavia,3.7777777777777777,5,FALSE
Cyprus,Austria,2.3333333333333335,5.222222222222222,FALSE
Cyprus,Belgium,1.6666666666666667,5.222222222222222,FALSE
Cyprus,Denmark,2.3333333333333335,4.888888888888889,FALSE
Cyprus,Finland,1.7777777777777777,5.111111111111111,FALSE
Cyprus,France,3.888888888888889,5.111111111111111,FALSE
Cyprus,Germany,2.4444444444444446,5.111111111111111,FALSE
Cyprus,Greece,10.285714285714286,5.111111111111111,TRUE
Cyprus,Israel,1.75,5,FALSE
Cyprus,Italy,5,5,FALSE
Cyprus,Luxembourg,3.5555555555555554,5.222222222222222,FALSE
Cyprus,Norway,1,5.222222222222222,FALSE
Cyprus,Portugal,0.4444444444444444,5.116666666666662,FALSE
Cyprus,Spain,3.4444444444444446,5.111111111111111,FALSE
Cyprus,Sweden,4.444444444444445,5,FALSE
Cyprus,Switzerland,2.3333333333333335,5.111111111111111,FALSE
Cyprus,Netherlands,2.142857142857143,5.111111111111111,FALSE
Cyprus,Turkey,0,5,FALSE
Cyprus,United Kingdom,2.6666666666666665,5.222222222222222,FALSE
Cyprus,Yugoslavia,6.875,4.888888888888889,TRUE
Denmark,Austria,2.8,4.904999999999996,FALSE
Denmark,Belgium,1,4.9,FALSE
Denmark,Cyprus,3.4444444444444446,4.804999999999995,FALSE
Denmark,Finland,0.6,5,FALSE
Denmark,France,1.1,4.9,FALSE
Denmark,Germany,6,5.1,TRUE
Denmark,Greece,0.75,4.804999999999995,FALSE
Denmark,Israel,3.111111111111111,5.1,FALSE
Denmark,Italy,0.7777777777777778,5,FALSE
Denmark,Luxembourg,1.7,5,FALSE
